country,iso3,who_region,who_region_long,reference_date,date_type,cases
Brazil,BRA,AMRO,Region of the Americas,2022-12-28,Onset,6
Brazil,BRA,AMRO,Region of the Americas,2022-12-29,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2022-12-30,Onset,4
Brazil,BRA,AMRO,Region of the Americas,2022-12-31,Onset,3
Brazil,BRA,AMRO,Region of the Americas,2023-01-01,Onset,5
Brazil,BRA,AMRO,Region of the Americas,2023-01-02,Onset,8
Brazil,BRA,AMRO,Region of the Americas,2023-01-03,Onset,4
Brazil,BRA,AMRO,Region of the Americas,2023-01-04,Onset,8
Brazil,BRA,AMRO,Region of the Americas,2023-01-05,Onset,6
Brazil,BRA,AMRO,Region of the Americas,2023-01-06,Onset,7
Brazil,BRA,AMRO,Region of the Americas,2023-01-07,Onset,12
Brazil,BRA,AMRO,Region of the Americas,2023-01-08,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2023-01-09,Onset,6
Brazil,BRA,AMRO,Region of the Americas,2023-01-10,Onset,4
Brazil,BRA,AMRO,Region of the Americas,2023-01-11,Onset,4
Brazil,BRA,AMRO,Region of the Americas,2023-01-12,Onset,3
Brazil,BRA,AMRO,Region of the Americas,2023-01-13,Onset,7
Brazil,BRA,AMRO,Region of the Americas,2023-01-14,Onset,5
Brazil,BRA,AMRO,Region of the Americas,2023-01-15,Onset,4
Brazil,BRA,AMRO,Region of the Americas,2023-01-16,Onset,9
Brazil,BRA,AMRO,Region of the Americas,2023-01-17,Onset,5
Brazil,BRA,AMRO,Region of the Americas,2023-01-18,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2023-01-19,Onset,2
Brazil,BRA,AMRO,Region of the Americas,2023-01-20,Onset,5
Brazil,BRA,AMRO,Region of the Americas,2023-01-21,Onset,3
Brazil,BRA,AMRO,Region of the Americas,2023-01-22,Onset,2
Brazil,BRA,AMRO,Region of the Americas,2023-01-23,Onset,5
Brazil,BRA,AMRO,Region of the Americas,2023-01-25,Onset,3
Brazil,BRA,AMRO,Region of the Americas,2023-01-26,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2023-01-27,Onset,2
Brazil,BRA,AMRO,Region of the Americas,2023-01-28,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2023-01-29,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2023-01-31,Onset,2
Brazil,BRA,AMRO,Region of the Americas,2023-02-01,Onset,3
Brazil,BRA,AMRO,Region of the Americas,2023-02-02,Onset,1
Brazil,BRA,AMRO,Region of the Americas,2023-02-03,Onset,2
Brazil,BRA,AMRO,Region of the Americas,2023-02-05,Onset,1
